day,claim_count
1,5
2,5
3,8
4,5
5,8
6,2
7,6
8,3
9,2
10,3
11,6
12,5
13,7
14,5
15,2
16,6
17,2
18,3
19,5
20,2
21,4
22,5
23,5
24,7
25,2
26,6
27,5
28,3
29,2
30,2
31,3
32,9
33,8
34,1
35,2
36,5
37,7
38,1
39,2
40,10
41,4
42,4
43,5
44,2
45,4
46,4
47,2
48,6
49,6
50,2
51,2
52,11
53,4
54,7
55,0
56,2
57,4
58,2
59,5
60,4
61,1
62,4
63,6
64,2
65,4
66,4
67,1
68,2
69,8
70,2
71,5
72,6
73,7
74,7
75,6
76,7
77,10
78,4
79,5
80,3
81,3
82,5
83,2
84,3
85,2
86,7
87,7
88,1
89,2
90,4
91,2
92,6
93,7
94,8
95,4
96,3
97,5
98,3
99,3
100,0
101,3
102,1
103,4
104,5
105,5
106,2
107,5
108,3
109,2
110,6
111,7
112,4
113,2
114,5
115,5
116,5
117,3
118,5
119,4
120,8
121,5
122,7
123,3
124,4
125,5
126,3
127,4
128,0
129,1
130,2
131,7
132,4
133,2
134,5
135,8
136,7
137,4
138,8
139,5
140,7
141,3
142,2
143,4
144,2
145,7
146,3
147,5
148,7
149,1
150,6
151,2
152,3
153,2
154,2
155,3
156,6
157,6
158,5
159,9
160,3
161,3
162,6
163,7
164,5
165,3
166,1
167,2
168,5
169,5
170,2
171,4
172,5
173,4
174,3
175,6
176,6
177,8
178,8
179,4
180,0
181,4
182,3
183,6
184,2
185,6
186,4
187,10
188,3
189,6
190,4
191,2
192,2
193,2
194,11
195,3
196,6
197,3
198,4
199,4
200,3
201,3
202,6
203,3
204,8
205,5
206,4
207,8
208,2
209,2
210,8
211,9
212,6
213,1
214,6
215,4
216,2
217,7
218,3
219,3
220,1
221,6
222,6
223,7
224,4
225,5
226,6
227,3
228,3
229,8
230,7
231,3
232,1
233,5
234,3
235,9
236,1
237,7
238,4
239,5
240,4
241,5
242,7
243,2
244,5
245,3
246,7
247,1
248,2
249,3
250,7
251,3
252,2
253,1
254,6
255,5
256,6
257,3
258,4
259,3
260,3
261,2
262,5
263,5
264,5
265,2
266,5
267,2
268,6
269,4
270,5
271,2
272,3
273,3
274,4
275,4
276,6
277,6
278,4
279,2
280,6
281,2
282,4
283,6
284,3
285,2
286,2
287,5
288,1
289,3
290,5
291,6
292,4
293,3
294,3
295,4
296,3
297,6
298,1
299,5
300,10
301,6
302,3
303,1
304,3
305,7
306,9
307,0
308,6
309,4
310,4
311,3
312,4
313,2
314,4
315,1
316,4
317,5
318,3
319,2
320,4
321,1
322,3
323,3
324,1
325,5
326,6
327,2
328,7
329,6
330,6
331,4
332,3
333,3
334,3
335,4
336,6
337,6
338,2
339,4
340,2
341,6
342,2
343,4
344,7
345,7
346,8
347,3
348,4
349,6
350,5
351,2
352,4
353,3
354,0
355,4
356,7
357,4
358,5
359,4
360,7
361,3
362,5
363,5
364,6
365,4
